accession,name,description,Parent study,Study Disease/Focus,Study Design,Study Markerset,Study Molecular Data Type,Study Content,Ancestry (computed),NIH Institute,Study Consent,Release Date,Embargo Release Date,Related Terms
"phs002585.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): AICORE-kids","This work is directed at characterizing pediatric COVID-19 and stratifying incoming patients by projected (future) disease severity. Such stratification has several implications: immediately improving treatment planning, and as disease mechanistic   regulatory milestones intended to conform with the Emergency Use Authorization (EUA) programs in effect for SARS-CoV-2 diagnostics. Note for data in RADx","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002525.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): SF-RAD:    Development and Proof-of-Concept Implementation of the South Florida    Miami RADx-rad SARS-CoV-2 Wastewater-Based Surveillance Infrastructure","The University of Miami (UM), with three primary campuses in Miami, Florida, is geographically spread within one of the worst current COVID-19 hotbeds. UM has deployed an elaborate human surveillance   strategies. Working closely with the RADx-rad Data Coordination Center (DCC), this application (SF-RAD) will develop and implement data standards and","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002782.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): NIEHS    Diagnostic-Prognostic RNAseq","Infectious disease outbreaks like Coronavirus Disease 2019 (COVID-19) can overwhelm healthcare systems when screening tools are scarce or lacking. In the face of an ongoing COVID-19 pandemic and with single-plex  , long queue times, backlogs in COVID-19 diagnoses, and delayed access to specialized treatment for COVID-19 patients. The goal of this RADx funded project","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002679.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): Wastewater    Detection of COVID-19","When faced with a pandemic such as SARS-Coronavirus-2 (SAR-CoV-2), the virus responsible for COVID-19, timely risk assessment and action are required to prevent public health impacts to entire communities. Because   existing and emerging variants from wastewater, and 3) design platforms for communicating wastewater variant results to the public. Note for data in RADx","Not Applicable","COVID-19","Collection","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002600.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): Portable GC    Detector for COVID Diagnostics","The data herein combines GC-MS and GC-DMS analysis of exhaled breath vapor compounds. The intent of this study is to develop a portable GC-DMS system to diagnose SARS-CoV-2 infections from  , weight, symptoms at time of sampling, etc., was also collected. Note for data in RADx: Instructions for requesting individual-level data are available on","Not Applicable","COVID-19","Collection","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002603.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): Diagnosis of    MIS-C in Febrile Children","The recent emergence of SARS-CoV2 and resultant pandemic of COVID-19 disease has overwhelmed global health systems and led to over 200,000 American deaths to date. While initial reports suggested that   diagnostic strategy to distinguish children with MIS-C from children with other causes of fever. Note for data in RADx: Instructions for requesting individual","Not Applicable","COVID-19","Prospective Longitudinal Cohort","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002685.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): DNA Star    SAS-CoV-2 Rapid Test","Automated, rapid diagnostics with little sample collection and preparation are needed to identify and trace affected persons in times when hyper-infectious pathogens cause pandemics. Frequent, low cost and highly scalable   to results in minutes) and cost effective ( $3 per test). Note for data in RADx: Instructions for requesting individual-level data are available on","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002583.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): A Rapid    Breathalyzer Diagnostics Platform for COVID-19","We propose to develop a novel testing platform that detects SARS-CoV-2 virions in a patient's breath. When a person exhales into the COVID breathalyzer, droplets and other emitted particles are  , and has accurate reporting with high sensitivity and specificity. Note for data in RADx: Instructions for requesting individual-level data are available","Not Applicable","COVID-19","Collection","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002604.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): Tracking the    COVID-19 Epidemic in Sewage (TRACES)","Wastewater based testing (WBT) holds great promise for cost-effective population surveillance and transmission tracking of SARS-CoV-2, but optimal sampling modalities and protocols are unknown. Taking advantage of a diverse inner   develop point-of-use microfluidics systems for timely WBT. Note for data in RADx: Instructions for requesting individual-level data are available on RADx","Not Applicable","COVID-19","Prospective Longitudinal Cohort","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002524.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): Validation of    Smart Masks for Surveillance of COVID-19","Vulnerable populations do not just need testing - they need surveillance. The ideal surveillance tool would operate in the background with minimal involvement of the population to be tested; it  . Note for data in RADx: Instructions for requesting individual-level data are available on RADx Data Hub at https://radx-hub.nih.gov/home. Apply for data","Not Applicable","COVID-19","Collection","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002527.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): Bioinformatics    Framework for Wastewater-based Surveillance of Infectious Diseases","COVID-19 is expected to become one of the largest mass casualty events in the history of the United States (U.S.). Assessment of the true burden of disease in the population   and how these burdens differ across communities. The goal of our proposed RADx-rad supplement is to implement and evaluate a near real-time WBE","Not Applicable","COVID-19","Collection","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
