accession,name,description,Parent study,Study Disease/Focus,Study Design,Study Markerset,Study Molecular Data Type,Study Content,Ancestry (computed),NIH Institute,Study Consent,Release Date,Embargo Release Date,Related Terms
"phs003032.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    RADx-UP Supplement-Vaccine Hesitancy and Uptake","The Georgia Center for Diabetes Translation Research Center (P30DK111024) proposes to collaborate with our RADx-UP Diabetes rural community partner and utilize locally developed and tested Georgia CEAL (1OT2HL156812-01/16-312-0217571-66105L) COVID-19 communication  -management behaviors and related outcomes (e.g., blood glucose) in individuals with uncontrolled diabetes in rural, Southwest Georgia. Note for data in RADx","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs003081.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    COMMIT","In the United States underserved and socially vulnerable populations have endured higher rates and disparities of COVID-19 infection, morbidity, and mortality. This disproportionate burden has shone the light on the   sustainable model for trustworthy CEnR partnerships to address SEBI of COVID-19 testing. Note for data in RADx: Instructions for requesting individual-level","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002584.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Scaling Up SARS-COV-2 Testing to Serve Latinx Communities","The global SARS-CoV-2 pandemic that causes the severe respiratory illness COVID-19 is the worst health crisis the United States has faced in a century. Although this highly contagious virus has   behaviors, testing rates, and sustainability. The resulting structures and systems will be poised for future scale-up to other vulnerable communities and/or","Not Applicable","COVID-19","Collection","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002649.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Communities Fighting COVID-19","Given observed disparities in COVID-19 morbidity, hospitalization, and mortality across race, ethnicity, and socioeconomic status, there is a great need to increase testing access and uptake with rapid return of   approach; 2) Using a community-led rapid cycle research process, identify effective strategies to promote uptake of COVID-19 testing through mobile/pop-up","Not Applicable","COVID-19","Cross-Sectional","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002643.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    COVID-19 Large Network Center","Ohio includes a very diverse population, with many minority, underserved, and vulnerable communities (MUVP). The need to increase testing in Ohio's MUVP is great - testing rates are only at  /mortality are needed, especially in the most vulnerable populations. The RADx-UP Initiative Large Network proposal, RADx-UP Ohio, leverages the vast community","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU --- NULL","2022-12-02","",""
"phs002786.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Lupus Education Alliance Program (LEAP)","People living with an autoimmune disease, including those with systemic lupus erythematosus (SLE), have been especially impacted by the COVID-19 pandemic. The purpose of this research project is to identify   testing/vaccination in clinical populations. Note for data in RADx: Instructions for requesting individual-level data are available on RADx Data Hub at","Not Applicable","COVID-19","Case-Control","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002520.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Community Based COVID-19 Testing Evaluation","We have used a community-based participatory research approach guided by the Social Ecological Model to target testing strategies that will have the greatest impact for the Latinx and Marshallese communities   approaches to understand effectiveness and impact for vulnerable populations; and Aim 3: fully collaborate with the RADx-UP CDCC and other RADx-UP sites. These","Not Applicable","COVID-19","Prospective Longitudinal Cohort","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002634.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    COVID-19 Treatment Cascade Optimization Study","This study tests an adaptation of the HIV Continuum of Prevention, Care, and Treatment Framework (CoPCT) for use in tracking COVID-19 testing and follow-up in a medically and socially vulnerable   assignment randomized trial (SMART) design. Note for data in RADx: Instructions for requesting individual-level data are available on RADx Data Hub at https","Not Applicable","COVID-19","Clinical Trial","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002650.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Building Resiliency and Vital Equity (BRAVE)","This project will collaboratively partner with American Indian populations to establish COVID-19 services and resources for American Indian communities. The Building Resilience and Vital Equity (BRAVE) project seeks to partner   PYE campaign increases the likelihood of testing and COVID-19 vaccinations in American Indian communities. Note for data in RADx: Instructions for","Not Applicable","COVID-19","Interventional","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002821.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Harm Reduction Coalition San Diego - OnPoint","The project aims to increase access and uptake of COVID019 testing and vaccination among people who inject drugs (PWID), a population highly vulnerable to COVID-19. The proposed RADx-UP project, LinkUP,   used to estimate effect sizes for a future efficacy trial and shared with the RADx-UP consortium, policymakers, and program planners. Since there are 185","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002711.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Community-Engaged Approaches to Testing in Community and Healthcare    Settings for Underserved Populations (CATCH-UP)","The pandemic caused by the novel coronavirus, SARS-CoV2, has resulted in substantial global morbidity and mortality, including in Oklahoma, and has caused unprecedented interruptions in all aspects of our lives.   Populations (CATCH-UP) program will involve both practice-based and community-based approaches to maximize the reach of the RADx-UP Consortium, broaden the","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002917.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Reducing Ethical and Social Prejudicial Effects of COVID-19 Testing in    Underserved Populations (RESPECT-UP)","The community-engaged project, Reducing Ethical and Social Prejudicial Effects of COVID-19 Testing in Underserved Populations (RESPECT-UP), aims to understand the social, ethical, and behavioral factors surrounding COVID-19 testing in vulnerable  urban and rural African American Communities in Alabama (top 20% of the Social Vulnerability Index - SVI), and develop, in the form of RESPECT-UP","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs003031.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Safer at School Early Alert Project HUB","Schools serve important community roles beyond academic education. In historically marginalized communities they are trusted providers for a range of support services for families in need. The tradeoff between these   testing. Note for data in RADx: Instructions for requesting individual-level data are available on RADx Data Hub at https://radx-hub.nih.gov/home. Apply for","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs003127.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    ReOpening Schools Safely and Educating Youth (ROSSEY)","While public health measures with school closure helped mitigate the spread of COVID-19, Latino children from rural agricultural communities are experiencing learning gaps due to disproportionate access to resources. Analyzing  . Aim 3 will occur after Aim 1 and 2 are completed. Note for data in RADx: Instructions for requesting individual-level data are available on RADx Data","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-11-21","",""
"phs002575.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    SCALE UP Utah: A Community-Academic Partnership to Address COVID-19    Among Utah Community Health Centers","Racial/ethnic minority, low socioeconomic status (SES), and rural populations suffer profound health inequities across a wide variety of diseases and conditions, as well as a disproportionate burden of the negative  health consequences of the COVID-19 pandemic. Latinos make up 14% of the Utah population vs. 40% of Utah's COVID-19 cases, and the case rate is over","Not Applicable","COVID-19","Interventional","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002618.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Rapid Acceleration of Acceptable COVID Testing and Care Options for    NYC Public Housing Residents (RADx NYCHA)","The Rapid Acceleration of Diagnostics for Underserved Populations (RADx-UP) initiative supports supplements to individual NIH awards to increase COVID-19 testing among underserved populations. Leveraging the infrastructure of a current project  , Isolation, and Follow-Up Care. To guide improvements to COVID-19 testing services, we will use mixed methods to identify barriers to testing, implications and","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
